run_id,run_name,created_at,state,cfg.data.norm_mode,cfg.data.n_windows,cfg.data.window_size_seconds,cfg.data.batch_size,cfg.loss.regularizer,cfg.loss.std_coeff,cfg.loss.cov_coeff,cfg.loss.use_projector,cfg.loss.pred_loss_type,cfg.model.encoder_depth,cfg.model.encoder_embed_dim,cfg.model.patch_size,cfg.model.predictor_depth,cfg.optim.lr,cfg.optim.epochs,cfg.optim.warmup_epochs,cfg.sanity_checks.enabled,cfg.logging.wandb_group,val/reg_position_in_movie_corr,val/reg_contrast_rms_corr,val/reg_luminance_mean_corr,val/reg_narrative_event_score_corr,val/reg_loss,sanity/embedding_variance_mean,sanity/embedding_variance_min,sanity/embedding_variance_max,sanity/embedding_variance_std,sanity/embedding_l2_mean,sanity/cosim_random_pairs_mean,sanity/cosim_random_pairs_max,sanity/loss_trend,sanity/loss_rolling_mean,sanity/pred_loss_short,sanity/pred_loss_long,sanity/grad_norm,sanity/linear_probe_acc,train_step/jepa_loss,train_step/vc_loss,train_step/pred_loss,train_step/reg_loss,train_step/cls_loss,val_corr_weighted
kmect0h2,eeg_jepa_bs32_lr0.0005_sigreg0.1_nw4_ws4s,2026-04-22T03:44:38Z,finished,per_recording,4,4,32,sigreg,1.0,1.0,True,smooth_l1,2,64,50,2,0.0005,100,5,True,sigreg_corrca_perrec,0.16166889667510986,0.08631433546543121,0.06717104464769363,-0.00393253518268466,0.8255208015441895,1.3990070819854736,0.04230125620961189,6.542736053466797,1.2747604846954346,6.719920635223389,0.07239048182964325,0.9959972500801086,0.06994127750396695,2.6955808091163633,19.80342674255371,16.9295597076416,0.2758396396462032,0.5728155374526978,2.9085395336151123,0.014545119367539884,2.8939943313598633,0.8824093341827393,0.6862814426422119,0.09415302951820194
b9ksb1k5,eeg_jepa_bs64_lr0.0005_sigreg0.1_nw2_ws1s,2026-04-22T03:44:22Z,finished,per_recording,2,1,64,sigreg,1.0,1.0,True,smooth_l1,2,64,50,2,0.0005,100,5,True,sigreg_corrca_perrec,0.08241099864244461,0.11760541051626204,0.08552315086126328,0.03206343948841095,0.8899993419647216,1.2043089866638184,0.13261927664279938,4.733661651611328,0.859627366065979,6.902376174926758,-0.024642175063490868,0.9364151358604432,0.1016361117362976,1.4760476458072662,6.333151817321777,5.345313549041748,0.1635215591162592,0.59375,1.667715549468994,0.008078289218246937,1.659637212753296,0.6647840738296509,0.6929196715354919,0.08886821195483206
vuclvj9l,eeg_jepa_bs64_lr0.0005_sigreg1.0_nw1_ws1s,2026-04-22T03:44:15Z,finished,per_recording,1,1,64,sigreg,1.0,1.0,True,smooth_l1,2,64,50,2,0.0005,100,5,True,sigreg_corrca_perrec,0.07274021953344345,0.045834627002477646,0.1339428424835205,-0.02730974741280079,0.969991374015808,0.6481060981750488,0.17834903299808502,1.7772701978683472,0.3147182762622833,6.0291266441345215,-0.019274357706308365,0.8737273216247559,0.1052691173553466,1.319904944896698,4.086965560913086,6.394694805145264,0.2816513677661378,0.5625,1.3492718935012815,0.0516962893307209,1.29757559299469,0.8510466814041138,0.6917750239372253,0.07302433196455241
0hnpzfry,eeg_jepa_bs32_lr0.0005_std0.1_cov0.1_noproj_nw4_ws4s,2026-04-21T15:21:16Z,finished,per_recording,4,4,32,vc,0.1,0.1,false,smooth_l1,2,64,50,2,0.0005,100,5,True,retrain_best_es20_perrec,0.11910060048103333,0.08370925486087799,0.06821607053279877,-0.0024865460582077503,0.8324829280376435,0.015971284359693527,0.0012453491799533367,0.0802653580904007,0.016481369733810425,2.6173033714294434,0.8808236718177795,0.9879380464553832,0.0013581788539886452,0.27785193085670473,0.6207765340805054,0.6200811266899109,0.04744937034317424,0.582524299621582,0.27491530776023865,0.0004401660989969969,0.2744751274585724,0.8795602917671204,0.6892576813697815,0.08105912315659225
p22ttnln,eeg_jepa_bs32_lr0.0005_std1.0_cov1.0_nw4_ws4s,2026-04-21T15:21:06Z,finished,per_recording,4,4,32,vc,1.0,1.0,True,smooth_l1,2,64,50,2,0.0005,100,5,True,retrain_best_es20_perrec,0.16143766045570374,0.09790192544460297,0.1566699892282486,0.02473043836653233,0.8967016339302063,0.0027118874713778496,0.000710799009539187,0.007781515829265118,0.0015376132214441895,1.782301902770996,0.946154236793518,0.9890815019607544,0.004262903034687043,0.14189613565802575,0.3324390947818756,0.31491678953170776,0.04013701568771737,0.4761904776096344,0.17976540327072144,0.03187931329011917,0.14788608253002167,0.7589876055717468,0.6896077990531921,0.12727591637521982
qouzn8sv,eeg_jepa_bs64_lr0.0005_std1.0_cov1.0_nw2_ws1s,2026-04-21T15:20:48Z,finished,per_recording,2,1,64,vc,1.0,1.0,True,smooth_l1,2,64,50,2,0.0005,100,5,True,retrain_best_es20_perrec,0.05889624357223511,0.03357456997036934,-0.030531546100974083,0.04843832924962044,0.978457260131836,0.012224758043885233,0.0037620870862156153,0.046574342995882034,0.007447137497365475,3.844944477081299,0.9537015557289124,0.9917383193969728,-0.0013362121582031206,0.1481407728791237,0.2959359884262085,0.3064320385456085,0.053671970929821775,0.5625,0.2149469554424286,0.06437914073467255,0.15056781470775604,0.8656245470046997,0.69307941198349,0.023425613157451154
esbabspo,eeg_jepa_bs32_lr0.0005_std0.1_cov0.1_nw4_ws4s,2026-04-21T15:20:44Z,finished,per_recording,4,4,32,vc,0.1,0.1,True,smooth_l1,2,64,50,2,0.0005,100,5,True,retrain_best_es20_perrec,0.02935863845050335,0.009769544936716557,0.03485677018761635,0.015914123505353928,0.9099136114120484,0.0035095103085041046,0.0005428952863439918,0.012195495888590813,0.002578982850536704,3.306670665740967,0.9808104038238524,0.9966951608657836,0.0027871872484683813,0.1387858559936285,0.328897625207901,0.3088970184326172,0.04557224946746789,0.4642857313156128,0.14798866212368011,0.003527014749124646,0.14446164667606354,0.7612929940223694,0.6922782063484192,0.02378689842298627
k3n7euhx,eeg_jepa_bs64_lr0.0005_sigreg0.1_nw2_ws1s,2026-04-21T15:20:33Z,finished,per_recording,2,1,64,sigreg,1.0,1.0,True,smooth_l1,2,64,50,2,0.0005,100,5,True,retrain_best_es20_perrec,0.1103876382112503,0.1153123304247856,0.15075355768203735,-0.1268906593322754,0.8732062935829162,0.8270605802536011,0.03316871449351311,4.5305399894714355,0.6621217727661133,6.682021617889404,-0.0006442926824092865,0.9553014636039734,0.04242049604654313,0.24507290109992028,0.4460214674472809,0.43998634815216064,0.10777690321568452,0.625,0.3061871826648712,0.009301664307713509,0.29688552021980286,0.6641057133674622,0.6931509375572205,0.10024699196219443
1j87769w,eeg_jepa_bs32_lr0.0005_sigreg0.1_nw4_ws4s,2026-04-21T15:20:33Z,finished,per_recording,4,4,32,sigreg,1.0,1.0,True,smooth_l1,2,64,50,2,0.0005,100,5,True,retrain_best_es20_perrec,0.1224355250597,0.10171328485012054,0.17075307667255402,0.03485218062996864,0.8138209640979767,0.697734534740448,0.007785523775964975,2.7153005599975586,0.6510772109031677,5.5146870613098145,0.07704246789216995,0.9972811341285706,0.04726061522960667,0.3945077136158943,0.8889350295066833,0.8839920163154602,0.18178026684810697,0.6071428656578064,0.4994972050189972,0.02310517430305481,0.4763920307159424,0.8136993646621704,0.6897003054618835,0.12195578403770924
uasg2s9a,eeg_jepa_bs64_lr0.0005_sigreg1.0_nw1_ws1s,2026-04-21T15:19:36Z,finished,per_recording,1,1,64,sigreg,1.0,1.0,True,smooth_l1,2,64,50,2,0.0005,100,5,True,retrain_best_es20_perrec,0.08516369760036469,0.07024795562028885,0.12747567892074585,-0.038313571363687515,0.9685712933540344,0.9754579663276672,0.1847584843635559,3.0421948432922363,0.5837389230728149,7.330028533935547,0.04399557411670685,0.96206396818161,0.03746056944131851,0.26819151267409325,0.5185936093330383,0.5078662633895874,0.45293298819278394,0.59375,0.39591604471206665,0.07155318558216095,0.3243628442287445,0.8639388084411621,0.6932689547538757,0.08103484250605106
uv9lgn50,eeg_jepa_bs32_lr0.0005_std0.1_cov0.1_noproj_nw4_ws4s,2026-04-21T11:14:20Z,finished,global,4,4,32,vc,0.1,0.1,false,smooth_l1,2,64,50,2,0.0005,100,5,True,retrain_best_es20,0.050600796937942505,0.08414062112569809,0.05650907009840011,0.001103478716686368,0.8180621504783631,0.006829593330621719,0.00011552350042620674,0.03700203076004982,0.008166652172803879,1.6755354404449463,0.873521089553833,0.9999949932098388,-0.001641153702512381,0.03605516165029257,0.054102785885334015,0.0520566925406456,0.05724600322475052,0.5048543810844421,0.04278969019651413,0.0016189937014132738,0.041170697659254074,0.8851346969604492,0.6906766295433044,0.05748549432028084
5ssmveqg,eeg_jepa_bs32_lr0.0005_std0.1_cov0.1_nw4_ws4s,2026-04-21T11:14:18Z,finished,global,4,4,32,vc,0.1,0.1,True,smooth_l1,2,64,50,2,0.0005,100,5,True,retrain_best_es20,0.056225307285785675,-0.0059277513064444065,0.05496930330991745,0.016970571130514145,0.9087380290031432,0.009732384234666824,0.00011654821719275787,0.04135781154036522,0.01075902208685875,4.194610595703125,0.9660549759864808,0.9999997615814208,0.002297771405428653,0.054444418689236045,0.2824972867965698,0.17655202746391296,0.049820721821171816,0.4642857313156128,0.029962878674268723,0.0048494222573935986,0.025113455951213837,0.7619694471359253,0.6922105550765991,0.033277114899829034
0t2p1vbl,eeg_jepa_bs32_lr0.0005_std1.0_cov1.0_nw4_ws4s,2026-04-21T11:11:27Z,finished,global,4,4,32,vc,1.0,1.0,True,smooth_l1,2,64,50,2,0.0005,100,5,True,retrain_best_es20,0.05811760202050209,0.03047849051654339,0.08464793115854263,0.01759704016149044,0.9088295757770538,0.017577148973941803,0.00015229845303110778,0.10170122981071472,0.021635806187987328,2.108593225479126,0.8129749298095703,0.9999984502792358,0.0014771198108792308,0.06172889580950141,0.3243991732597351,0.2078341543674469,0.08590762834572173,0.4761904776096344,0.07751216739416122,0.04495898261666298,0.032553184777498245,0.758819043636322,0.6916861534118652,0.05373291112482548
