target,kind,r2_mean,r2_std,n,pearson_train
luminance_mean,regression,0.9215414643287658,0.02601629568356307,341,0.9960286021846084
contrast_rms,regression,0.8172451615333557,0.05719996727531289,341,0.9913043201284999
saturation_mean,regression,0.9309562087059021,0.011175529301483743,341,0.9963709193335495
edge_density,regression,0.8644430994987488,0.05301465287254052,341,0.9974069045149321
spatial_freq_energy,regression,0.7404068112373352,0.1711072595174507,341,0.9897176904516322
entropy,regression,0.8238291263580322,0.05993491772945515,341,0.9917042130418119
motion_energy,regression,0.464381206035614,0.20407391256146834,341,0.7942347549879696
n_objects,regression,0.8512625694274902,0.07783603340566077,341,0.9904572202275876
n_faces,regression,0.6893277406692505,0.04011094580959695,341,0.9490015588122019
face_area_frac,regression,0.7858947038650512,0.06051294826431498,341,0.9702276471787863
depth_mean,regression,0.8562550187110901,0.04740868191679407,341,0.9970615157392119
depth_std,regression,0.8196413397789002,0.06122663890999678,341,0.996983215414145
scene_natural_score,regression,0.8630844116210937,0.031036431463529364,341,0.9911892525250035
scene_open_score,regression,0.7635709881782532,0.07426879755575498,341,0.9864038399684044
position_in_movie,regression,0.9976240038871765,0.0002735914061374149,341,0.9999978612616428
narrative_event_score,regression,0.31911141872406007,0.13366431194296077,341,0.9134777640651842
shot_id,classification,0.9033248081841434,0.023333303742917307,341,
