target,r2_clip,r2_clip_std,r2_broadcast,r2_broadcast_std,r2_shot,r2_shot_std,r2_shot_pca,r2_shot_pca_std,delta_bcast_minus_clip,n_clip,n_shot
luminance_mean,0.9215414643287658,0.02601629568356307,0.9542815685272217,0.02551604567327818,0.10839402675628662,0.5919852521625832,0.34135099649429324,0.11920367578200289,0.032740104198455855,341,35
contrast_rms,0.8172451615333557,0.05719996727531289,0.8690555930137634,0.07578098045565315,-0.010217666625976562,0.13549588415402863,-0.009992408752441406,0.14033569366846022,0.05181043148040776,341,35
saturation_mean,0.9309562087059021,0.011175529301483743,0.9584364771842957,0.00997504909578033,-0.026663219928741454,0.34994161822745673,0.03618574142456055,0.38324097194819856,0.027480268478393577,341,35
edge_density,0.8644430994987488,0.05301465287254052,0.7967786192893982,0.05670109063883354,-0.06524670124053955,0.23818605577072247,-0.021379518508911132,0.20063566286242882,-0.06766448020935056,341,35
spatial_freq_energy,0.7404068112373352,0.1711072595174507,0.8159119963645936,0.1989931829846565,0.34786683320999146,0.3723797785492973,0.3466474413871765,0.38292540359769284,0.07550518512725835,341,35
entropy,0.8238291263580322,0.05993491772945515,0.9010499835014343,0.025970932863554726,0.0976223111152649,0.17811595299229063,0.10226621627807617,0.17745184742480968,0.0772208571434021,341,35
motion_energy,0.464381206035614,0.20407391256146834,0.28921759128570557,0.17282198704595536,0.19909441471099854,0.1639392906859294,0.21686714887619019,0.21103912261120206,-0.17516361474990844,341,35
n_objects,0.8512625694274902,0.07783603340566077,0.8203114867210388,0.03094428629297033,-1.1229641556739807,2.6786917757252846,-0.8365416169166565,2.2277926560660997,-0.030951082706451416,341,35
n_faces,0.6893277406692505,0.04011094580959695,0.5927626371383667,0.12392615299813298,-1.8982170581817628,2.769763679155074,-1.8950323581695556,2.7806691458664816,-0.09656510353088377,341,35
face_area_frac,0.7858947038650512,0.06051294826431498,0.7650247812271118,0.09445633732450703,-5.210334825515747,9.957271057957474,-5.2031026721000675,10.003969246748467,-0.02086992263793941,341,35
depth_mean,0.8562550187110901,0.04740868191679407,0.8570625901222229,0.029249325364525652,-0.28925400972366333,0.2590226720159155,-0.2321810245513916,0.2263428948964319,0.0008075714111327459,341,35
depth_std,0.8196413397789002,0.06122663890999678,0.8412766814231872,0.042422577799899594,-0.6252428412437439,0.5384799897116652,-0.6388973712921142,0.5450982441167219,0.021635341644287043,341,35
scene_natural_score,0.8630844116210937,0.031036431463529364,0.8710509419441224,0.015369745069028206,-0.06020389795303345,0.4705546678301911,-0.1581655740737915,0.482776178341335,0.007966530323028631,341,35
scene_open_score,0.7635709881782532,0.07426879755575498,0.8309980034828186,0.040640496453199206,-0.5977187633514405,0.3375130394640869,-0.635986042022705,0.3148036280278753,0.06742701530456541,341,35
position_in_movie,0.9976240038871765,0.0002735914061374149,0.9952998995780945,0.0017546109939480508,0.5553383588790893,0.17358889344800427,0.44440650939941406,0.16862207431170054,-0.0023241043090820312,341,35
narrative_event_score,0.31911141872406007,0.13366431194296077,0.12971196174621583,0.09072748441524832,-0.3179697751998901,0.3171598510028913,-0.29208985567092893,0.31095269969489514,-0.18939945697784424,341,35
