target,r2_clip_raw,r2_clip_centered,r2_broadcast_raw,r2_broadcast_centered,r2_shot_raw,r2_shot_centered
luminance_mean,0.9660308718681335,0.9645551562309265,0.9503104209899902,0.9500270009040832,0.500780463218689,0.5223402738571167
contrast_rms,0.8756556630134582,0.8790618419647217,0.890112578868866,0.8903594136238098,0.12438383102416992,-0.03574998378753662
saturation_mean,0.9693736910820008,0.9689035296440125,0.9558234691619873,0.9563008546829224,0.009307301044464112,-0.10767730474472045
edge_density,0.8699628829956054,0.8476525664329528,0.8973729491233826,0.8965528011322021,-0.12035940885543824,-0.2368391513824463
spatial_freq_energy,0.928965711593628,0.9278833031654358,0.525571060180664,0.5242884278297424,-5.2078949332237245,-5.0394863247871395
entropy,0.9696393966674804,0.9779737710952758,0.9552206158638,0.9576778173446655,-0.093159019947052,-0.4721990704536438
motion_energy,0.6425429344177246,0.664535653591156,0.31920212507247925,0.2937449336051941,0.02966916561126709,-0.109401535987854
n_objects,0.5158748269081116,0.5052096843719482,0.7374307155609131,0.7275915741920471,-0.19267659187316893,-0.24428181648254393
n_faces,0.7174504399299622,0.7242209434509277,0.8211196780204773,0.8191809177398681,-0.2149334192276001,-0.19963250160217286
face_area_frac,0.7966251134872436,0.7959981322288513,0.8233425378799438,0.8235856175422669,-1.5732009410858154,-2.501609468460083
depth_mean,0.721383786201477,0.7293906569480896,0.7500600337982177,0.7469149708747864,-0.12478514909744262,-0.14577564001083373
depth_std,0.8654868006706238,0.8785574793815613,0.9052307486534119,0.903927230834961,-0.47833614349365233,-0.7483604311943054
scene_natural_score,0.6693649888038635,0.6664483189582825,0.6410575151443482,0.6442755222320556,-0.11925433874130249,-0.12206335067749023
scene_open_score,0.756181252002716,0.7400567054748535,0.738862669467926,0.7333186984062194,-0.5753762722015381,-0.6701540589332581
position_in_movie,0.9972243666648865,0.9974614024162293,0.9956281065940857,0.9957091093063355,0.6691093921661377,0.5500344157218933
narrative_event_score,0.4092929244041443,0.3843613266944885,0.20323554277420045,0.19912272691726685,0.2425493121147156,0.24949889183044432
