pyscenedetect_frame,pyscenedetect_time_s,transnetv2_frame,transnetv2_time_s,ffmpeg_frame,ffmpeg_time_s
174.0,7.251,174.0,7.251,174,7.251
259.0,10.794,259.0,10.794,259,10.794
384.0,16.003,384.0,16.003,384,16.003
504.0,21.004,504.0,21.004,504,21.004
605.0,25.214,605.0,25.214,605,25.214
830.0,34.59,830.0,34.59,830,34.59
881.0,36.716,881.0,36.716,842,35.091
957.0,39.883,957.0,39.883,849,35.382
1036.0,43.176,1036.0,43.176,881,36.716
1120.0,46.676,1120.0,46.676,957,39.883
1176.0,49.01,1176.0,49.01,1036,43.176
1222.0,50.927,1222.0,50.927,1120,46.676
1321.0,55.053,1391.0,57.97,1176,49.01
1391.0,57.97,1440.0,60.012,1222,50.927
1440.0,60.012,1535.0,63.971,1391,57.97
1535.0,63.971,1570.0,65.43,1440,60.012
1570.0,65.43,1596.0,66.514,1535,63.971
1596.0,66.514,1642.0,68.431,1570,65.43
1642.0,68.431,1695.0,70.639,1596,66.514
1695.0,70.639,1807.0,75.307,1642,68.431
1807.0,75.307,1847.0,76.974,1695,70.639
1847.0,76.974,1869.0,77.891,1807,75.307
1867.0,77.808,1905.0,79.391,1847,76.974
1905.0,79.391,1960.0,81.683,1869,77.891
1960.0,81.683,2068.0,86.184,1905,79.391
2068.0,86.184,2131.0,88.81,1960,81.683
2131.0,88.81,2192.0,91.352,2068,86.184
2192.0,91.352,2326.0,96.937,2131,88.81
2326.0,96.937,2433.0,101.396,2192,91.352
2433.0,101.396,2506.0,104.438,2326,96.937
2506.0,104.438,2519.0,104.98,2433,101.396
2555.0,106.48,2536.0,105.688,2505,104.396
2591.0,107.98,2555.0,106.48,2518,104.938
2607.0,108.647,2591.0,107.98,2535,105.647
2660.0,110.856,2660.0,110.856,2554,106.438
2732.0,113.857,2732.0,113.857,2590,107.939
2787.0,116.149,2787.0,116.149,2606,108.606
2811.0,117.149,2811.0,117.149,2659,110.814
2865.0,119.399,2865.0,119.399,2731,113.815
2930.0,122.108,2930.0,122.108,2786,116.107
3011.0,125.484,3011.0,125.484,2810,117.107
3162.0,131.777,3162.0,131.777,2864,119.358
3278.0,136.611,3278.0,136.611,2929,122.067
3364.0,140.195,3364.0,140.195,3010,125.442
3405.0,141.904,3405.0,141.904,3161,131.735
3508.0,146.197,3508.0,146.197,3277,136.57
3621.0,150.906,3621.0,150.906,3363,140.154
3709.0,154.573,3709.0,154.573,3404,141.862
3780.0,157.532,3780.0,157.532,3507,146.155
3855.0,160.658,3855.0,160.658,3620,150.864
3899.0,162.492,3899.0,162.492,3708,154.532
3966.0,165.284,3966.0,165.284,3779,157.491
4126.0,171.952,4126.0,171.952,3854,160.616
,,,,3898,162.45
,,,,3965,165.242
,,,,4125,171.91
