shot_number,boundary_frame,timestamp_s
1,174,7.251486264862649
2,259,10.793878980456471
3,384,16.00328003280033
4,504,21.004305043050433
5,605,25.213501093344266
6,830,34.59042298756321
7,842,35.09052548858822
8,849,35.38225194751948
9,881,36.715858616919505
10,957,39.88317445674457
11,1036,43.175515921825884
12,1120,46.67623342900096
13,1176,49.01004510045101
14,1222,50.927104687713545
15,1391,57.97021491048244
16,1440,60.01230012300123
17,1535,63.97144492278257
18,1570,65.43007721743885
19,1596,66.51363263632636
20,1642,68.4306922235889
21,1695,70.6394782697827
22,1807,75.3071016126828
23,1847,76.97410994943283
24,1869,77.89096453464535
25,1905,79.39127203772038
26,1960,81.68340850075168
27,2068,86.18433100997677
28,2131,88.80986914035807
29,2192,91.35205685390187
30,2326,96.93653478201449
31,2433,101.39578208282083
32,2505,104.3963970889709
33,2518,104.93817479841465
34,2535,105.64665334153342
35,2554,106.43848230148969
36,2590,107.93878980456472
37,2606,108.60559313926473
38,2659,110.81437918545852
39,2731,113.81499419160859
40,2786,116.10713065463989
41,2810,117.10733565668991
42,2864,119.35779691130246
43,2929,122.06668545852126
44,3010,125.44237734044007
45,3161,131.73533381167147
46,3277,136.56965798824655
47,3363,140.15372591225912
48,3404,141.8624094574279
49,3507,146.15495592455926
50,3620,150.8642544758781
51,3708,154.53167281672816
52,3779,157.49061261445948
53,3854,160.6162532458658
54,3898,162.44996241629084
55,3965,165.24220138034715
56,4125,171.91023472734727
