shot_number,boundary_frame,timestamp_s
1,174,7.251486264862649
2,259,10.793878980456471
3,384,16.00328003280033
4,504,21.004305043050433
5,605,25.213501093344266
6,830,34.59042298756321
7,881,36.715858616919505
8,957,39.88317445674457
9,1036,43.175515921825884
10,1120,46.67623342900096
11,1176,49.01004510045101
12,1222,50.927104687713545
13,1321,55.05295032116988
14,1391,57.97021491048244
15,1440,60.01230012300123
16,1535,63.97144492278257
17,1570,65.43007721743885
18,1596,66.51363263632636
19,1642,68.4306922235889
20,1695,70.6394782697827
21,1807,75.3071016126828
22,1847,76.97410994943283
23,1867,77.80761411780784
24,1905,79.39127203772038
25,1960,81.68340850075168
26,2068,86.18433100997677
27,2131,88.80986914035807
28,2192,91.35205685390187
29,2326,96.93653478201449
30,2433,101.39578208282083
31,2506,104.43807229738965
32,2555,106.48015750990844
33,2591,107.98046501298347
34,2607,108.64726834768348
35,2660,110.85605439387727
36,2732,113.85666940002734
37,2787,116.14880586305864
38,2811,117.14901086510865
39,2865,119.3994721197212
40,2930,122.10836066694002
41,3011,125.48405254885883
42,3162,131.77700902009022
43,3278,136.6113331966653
44,3364,140.19540112067787
45,3405,141.90408466584665
46,3508,146.196631132978
47,3621,150.90592968429684
48,3709,154.5733480251469
49,3780,157.53228782287823
50,3855,160.65792845428456
51,3899,162.4916376247096
52,3966,165.2838765887659
53,4126,171.95190993576603
