pyscenedetect_frame,pyscenedetect_time_s,transnetv2_frame,transnetv2_time_s,ffmpeg_frame,ffmpeg_time_s
95,3.8,95.0,3.8,95.0,3.8
206,8.24,206.0,8.24,206.0,8.24
282,11.28,282.0,11.28,282.0,11.28
483,19.32,483.0,19.32,483.0,19.32
538,21.52,538.0,21.52,538.0,21.52
563,22.52,563.0,22.52,563.0,22.52
608,24.32,608.0,24.32,608.0,24.32
665,26.6,665.0,26.6,665.0,26.6
710,28.4,710.0,28.4,710.0,28.4
791,31.64,791.0,31.64,896.0,35.84
896,35.84,896.0,35.84,1033.0,41.32
1033,41.32,1033.0,41.32,1134.0,45.36
1085,43.4,1085.0,43.4,1255.0,50.2
1134,45.36,1134.0,45.36,1301.0,52.04
1255,50.2,1255.0,50.2,1475.0,59.0
1301,52.04,1301.0,52.04,1514.0,60.56
1475,59.0,1475.0,59.0,1596.0,63.84
1514,60.56,1514.0,60.56,1819.0,72.76
1596,63.84,1596.0,63.84,2027.0,81.08
1700,68.0,1819.0,72.76,2091.0,83.64
1819,72.76,2027.0,81.08,2212.0,88.48
2027,81.08,2091.0,83.64,2302.0,92.08
2091,83.64,2212.0,88.48,2518.0,100.72
2212,88.48,2302.0,92.08,2835.0,113.4
2302,92.08,2518.0,100.72,2909.0,116.36
2518,100.72,2835.0,113.4,2983.0,119.32
2835,113.4,2909.0,116.36,4113.0,164.52
2909,116.36,2983.0,119.32,4162.0,166.48
2983,119.32,3537.0,141.48,4221.0,168.84
3537,141.48,3964.0,158.56,,
3964,158.56,4078.0,163.12,,
4078,163.12,4113.0,164.52,,
4113,164.52,4162.0,166.48,,
4162,166.48,4221.0,168.84,,
4221,168.84,,,,
