feature,classifier,train_accuracy,train_balanced_accuracy,train_auc,val_accuracy,val_balanced_accuracy,val_auc,test_accuracy,test_balanced_accuracy,test_auc,elapsed_s
entropy,LogisticRegression,0.748019801980198,0.7480668486103269,0.8385161788694397,0.5113861386138614,0.511359715164063,0.5158073357801619,0.498019801980198,0.49717211651978144,0.497992830276003,2.8
entropy,SVM,0.6331683168316832,0.6336580086580086,0.7102228613777526,0.5331683168316832,0.5332870631783675,0.5340350319969885,0.5212871287128713,0.5225397217613674,0.5288127399876843,4.7
entropy,LDA,0.7554455445544555,0.7554543886065626,0.8478927473492692,0.49405940594059405,0.4940240918501788,0.4896318581780539,0.4975247524752475,0.4971083812818431,0.49548509379865946,0.1
n_faces,LogisticRegression,0.7599009900990099,0.7220168740819555,0.8300824433490266,0.502970297029703,0.49455564149676295,0.4841005369457174,0.4871287128712871,0.48816343935242557,0.4759214784246073,3.4
n_faces,SVM,0.6584158415841584,0.5688591082833887,0.7646843566743441,0.599009900990099,0.5024472862789937,0.5145002858479288,0.6044554455445544,0.500648845454853,0.5091120247565805,4.3
n_faces,LDA,0.7831683168316832,0.7553217115169555,0.8499629450818436,0.5108910891089109,0.5027896923542557,0.5048222188932743,0.49653465346534653,0.48448101076386435,0.485477342173212,0.1
face_area_frac,LogisticRegression,0.7599009900990099,0.7220168740819555,0.8300824433490266,0.502970297029703,0.49455564149676295,0.4841005369457174,0.4871287128712871,0.48816343935242557,0.4759214784246073,3.4
face_area_frac,SVM,0.6584158415841584,0.5688591082833887,0.7646823066097159,0.599009900990099,0.5024472862789937,0.5144371037745175,0.6044554455445544,0.500648845454853,0.5090284846229777,4.3
face_area_frac,LDA,0.7831683168316832,0.7553217115169555,0.8499629450818436,0.5108910891089109,0.5027896923542557,0.5048222188932743,0.49653465346534653,0.48448101076386435,0.485477342173212,0.1
scene_natural_score,LogisticRegression,0.7282178217821782,0.7281896168901254,0.8122162652840558,0.4995049504950495,0.4983269157550565,0.5032902354682084,0.5188118811881188,0.5109528025258312,0.5106211835441976,2.9
scene_natural_score,SVM,0.6247524752475248,0.6246050628419398,0.677359256307476,0.5222772277227723,0.5235713528726023,0.5231852187668045,0.5113861386138614,0.52203094913103,0.5321073300625436,4.8
scene_natural_score,LDA,0.7361386138613861,0.7361241408922076,0.8334191093217422,0.499009900990099,0.5001079409190285,0.4970860858267686,0.503960396039604,0.5046017068507942,0.5159729809486869,0.1
scene_open_score,LogisticRegression,0.7420792079207921,0.7420804255273263,0.829546936130709,0.5267326732673268,0.5256792070816461,0.52469188482908,0.503960396039604,0.5022729417686476,0.5080698280743701,2.3
scene_open_score,SVM,0.6143564356435643,0.6145143755655089,0.31699619350670866,0.5202970297029703,0.5197111309916188,0.47353603603603606,0.4861386138613861,0.4926286689527165,0.5164611319092711,5.0
scene_open_score,LDA,0.7534653465346535,0.7534592230754074,0.8415732198541513,0.5024752475247525,0.5024896412091534,0.49683988212951624,0.503960396039604,0.5019544153270205,0.510296072293705,0.1
sham_random,LogisticRegression,0.7287128712871287,0.7287128712871287,0.8161346926771884,0.5014851485148515,0.5013054510181243,0.509940455348377,0.505940594059406,0.5076695540281831,0.5192729419703104,2.3
sham_random,SVM,0.6217821782178218,0.6217821782178219,0.32059503970199005,0.5014851485148515,0.4960493187821152,0.49037585415826856,0.5153465346534654,0.507575400935254,0.49372312713805977,5.0
sham_random,LDA,0.747029702970297,0.747029702970297,0.838355063229095,0.48514851485148514,0.4863702478787647,0.4990574467104302,0.49603960396039604,0.4956061889966419,0.5037656333364717,0.1
