model,batch_size,params,weights_bytes,grad_bytes,adam_bytes,static_bytes,input_bytes,activation_bytes_est,cuda_peak_bytes,train_total_bytes,error
biot,1,3215361,12861444,12861444,25722888,51445776,825600,162611204,0,214882580,
biot,2,3215361,12861444,12861444,25722888,51445776,1651200,325090312,0,378187288,
biot,4,3215361,12861444,12861444,25722888,51445776,3302400,650048528,0,704796704,
biot,8,3215361,12861444,12861444,25722888,51445776,6604800,1299964960,0,1358015536,
biot,16,3215361,12861444,12861444,25722888,51445776,13209600,2599797824,0,2664453200,
biot,32,3215361,12861444,12861444,25722888,51445776,26419200,5199463552,0,5277328528,
biot,64,3215361,12861444,12861444,25722888,51445776,52838400,10398795008,0,10503079184,
biot,128,3215361,12861444,12861444,25722888,51445776,105676800,20797457920,0,20954580496,
biot,256,3215361,12861444,12861444,25722888,51445776,211353600,41594783744,0,41857583120,
labram,1,5818737,23274948,23274948,46549896,93099792,825600,1685284,0,95610676,
labram,2,5818737,23274948,23274948,46549896,93099792,1651200,3370568,0,98121560,
labram,4,5818737,23274948,23274948,46549896,93099792,3302400,6741136,0,103143328,
labram,8,5818737,23274948,23274948,46549896,93099792,6604800,13482272,0,113186864,
labram,16,5818737,23274948,23274948,46549896,93099792,13209600,26964544,0,133273936,
labram,32,5818737,23274948,23274948,46549896,93099792,26419200,53929088,0,173448080,
labram,64,5818737,23274948,23274948,46549896,93099792,52838400,107858176,0,253796368,
labram,128,5818737,23274948,23274948,46549896,93099792,105676800,215716352,0,414492944,
labram,256,5818737,23274948,23274948,46549896,93099792,211353600,431432704,0,735886096,
bendr,1,157308986,629235944,629235944,1258471888,2516943776,825600,20501248,0,2538270624,
bendr,2,157308986,629235944,629235944,1258471888,2516943776,1651200,39362048,0,2557957024,
bendr,4,157308986,629235944,629235944,1258471888,2516943776,3302400,77083648,0,2597329824,
bendr,8,157308986,629235944,629235944,1258471888,2516943776,6604800,152526848,0,2676075424,
bendr,16,157308986,629235944,629235944,1258471888,2516943776,13209600,303413248,0,2833566624,
bendr,32,157308986,629235944,629235944,1258471888,2516943776,26419200,605186048,0,3148549024,
bendr,64,157308986,629235944,629235944,1258471888,2516943776,52838400,1208731648,0,3778513824,
bendr,128,157308986,629235944,629235944,1258471888,2516943776,105676800,2415822848,0,5038443424,
bendr,256,157308986,629235944,629235944,1258471888,2516943776,211353600,4830005248,0,7558302624,
cbramod,1,5130201,20520804,20520804,41041608,82083216,825600,180806404,0,263715220,
cbramod,2,5130201,20520804,20520804,41041608,82083216,1651200,361612808,0,445347224,
cbramod,4,5130201,20520804,20520804,41041608,82083216,3302400,723225616,0,808611232,
cbramod,8,5130201,20520804,20520804,41041608,82083216,6604800,1446451232,0,1535139248,
cbramod,16,5130201,20520804,20520804,41041608,82083216,13209600,2892902464,0,2988195280,
cbramod,32,5130201,20520804,20520804,41041608,82083216,26419200,5785804928,0,5894307344,
cbramod,64,5130201,20520804,20520804,41041608,82083216,52838400,11571609856,0,11706531472,
cbramod,128,5130201,20520804,20520804,41041608,82083216,105676800,23143219712,0,23330979728,
cbramod,256,5130201,20520804,20520804,41041608,82083216,211353600,46286439424,0,46579876240,
signal_jepa,1,3458862,13835448,13835448,27670896,55341792,825600,232454904,0,288622296,
signal_jepa,2,3458862,13835448,13835448,27670896,55341792,1651200,464909808,0,521902800,
signal_jepa,4,3458862,13835448,13835448,27670896,55341792,3302400,929819616,0,988463808,
signal_jepa,8,3458862,13835448,13835448,27670896,55341792,6604800,1859639232,0,1921585824,
signal_jepa,16,3458862,13835448,13835448,27670896,55341792,13209600,3719278464,0,3787829856,
signal_jepa,32,3458862,13835448,13835448,27670896,55341792,26419200,7438556928,0,7520317920,
signal_jepa,64,3458862,13835448,13835448,27670896,55341792,52838400,14877113856,0,14985294048,
signal_jepa,128,3458862,13835448,13835448,27670896,55341792,105676800,29754227712,0,29915246304,
signal_jepa,256,3458862,13835448,13835448,27670896,55341792,211353600,59508455424,0,59775150816,
reve,1,70774273,283097092,283097092,566194184,1132388368,825600,759692356,0,1892906324,
reve,2,70774273,283097092,283097092,566194184,1132388368,1651200,1519384712,0,2653424280,
reve,4,70774273,283097092,283097092,566194184,1132388368,3302400,3038769424,0,4174460192,
reve,8,70774273,283097092,283097092,566194184,1132388368,6604800,6077538848,0,7216532016,
reve,16,70774273,283097092,283097092,566194184,1132388368,13209600,12155077696,0,13300675664,
reve,32,70774273,283097092,283097092,566194184,1132388368,26419200,24310155392,0,25468962960,
reve,64,70774273,283097092,283097092,566194184,1132388368,52838400,48620310784,0,49805537552,
reve,128,70774273,283097092,283097092,566194184,1132388368,105676800,97240621568,0,98478686736,
reve,256,70774273,283097092,283097092,566194184,1132388368,211353600,194481243136,0,195824985104,
eegpt,1,25323207,101292828,101292828,202585656,405171312,825600,427703692,0,833700604,
eegpt,2,25323207,101292828,101292828,202585656,405171312,1651200,855224460,0,1262046972,
eegpt,4,25323207,101292828,101292828,202585656,405171312,3302400,1710265996,0,2118739708,
eegpt,8,25323207,101292828,101292828,202585656,405171312,6604800,3420349068,0,3832125180,
eegpt,16,25323207,101292828,101292828,202585656,405171312,13209600,6840515212,0,7258896124,
eegpt,32,25323207,101292828,101292828,202585656,405171312,26419200,13680847500,0,14112438012,
eegpt,64,25323207,101292828,101292828,202585656,405171312,52838400,27361512076,0,27819521788,
eegpt,128,25323207,101292828,101292828,202585656,405171312,105676800,54722841228,0,55233689340,
eegpt,256,25323207,101292828,101292828,202585656,405171312,211353600,109445499532,0,110062024444,
